UNIT_MEASURE,MEASURE,FREQ,SEX,AGE,LMS,HST,FST,HAR,LOC_SIZE,WSTATUS,EDU,SIE,LPW,C_BIRTH,YAE,YAT,ROY,GEO,ACTIVITY,CITIZEN,ISCO08,TIME_PERIOD,OBS_VALUE,DECIMALS,UNIT_MEASURE_label,MEASURE_label,FREQ_label,SEX_label,AGE_label,LMS_label,HST_label,FST_label,HAR_label,LOC_SIZE_label,WSTATUS_label,EDU_label,SIE_label,LPW_label,C_BIRTH_label,YAE_label,YAT_label,ROY_label,GEO_label,ACTIVITY_label,CITIZEN_label,ISCO08_label
PERS,POP,A10,F,Y90T94,_T,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,2021,2600,0,Persons,Population,Decennial,Female,From 90 to 94 years,Total,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
PERS,POP,A10,M,Y70T74,_T,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,2021,11307,0,Persons,Population,Decennial,Male,From 70 to 74 years,Total,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
PERS,POP,A10,F,Y80T84,_T,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,2021,7516,0,Persons,Population,Decennial,Female,From 80 to 84 years,Total,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
PERS,POP,A10,M,Y65T69,_T,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,2021,14278,0,Persons,Population,Decennial,Male,From 65 to 69 years,Total,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
PERS,POP,A10,F,Y70T74,_T,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,2021,12034,0,Persons,Population,Decennial,Female,From 70 to 74 years,Total,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
PERS,POP,A10,M,Y30T34,_T,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,2021,26527,0,Persons,Population,Decennial,Male,From 30 to 34 years,Total,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
PERS,POP,A10,_T,Y20T24,_T,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,2021,38931,0,Persons,Population,Decennial,Total,From 20 to 24 years,Total,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
PERS,POP,A10,M,Y_LT15,_T,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,2021,52430,0,Persons,Population,Decennial,Male,Less than 15 years,Total,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
PERS,POP,A10,_T,Y65T69,_T,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,2021,29099,0,Persons,Population,Decennial,Total,From 65 to 69 years,Total,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
PERS,POP,A10,M,Y15T19,_T,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,2021,17434,0,Persons,Population,Decennial,Male,From 15 to 19 years,Total,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
